,Year,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS
0,1993,North Carolina,ACC,34,4,86.1,68.3,17.79,11.25,17.21,11.83,29.04
1,1993,Kentucky,SEC (East),30,4,87.5,69.8,17.68,9.23,16.77,10.13,26.90
2,1993,Duke,ACC,24,8,86.4,71.2,15.22,10.76,16.57,9.42,25.98
3,1993,Indiana,Big Ten,31,4,86.5,71.6,14.91,11.09,19.16,6.67,25.83
4,1993,Cincinnati,GMWC,27,5,74.5,58.5,16.00,6.62,4.88,17.74,22.62
5,1993,Kansas,Big 8,29,7,84.4,69.7,14.64,10.88,12.67,9.63,22.30
6,1993,Michigan,Big Ten,31,5,81.9,71.8,10.11,11.90,14.20,7.81,22.01
7,1993,Arizona,Pac-10,24,4,83.6,71.4,12.21,8.28,15.06,5.43,20.50
8,1993,Vanderbilt,SEC (East),28,6,83.0,69.9,13.15,6.40,12.81,7.01,19.81
9,1993,Iowa,Big Ten,23,9,78.3,65.4,12.94,8.14,7.85,11.90,19.75
10,1993,Seton Hall,Big East,28,7,77.9,66.9,10.94,9.07,9.10,10.38,19.48
11,1993,Iowa State,Big 8,20,11,81.3,69.6,11.65,8.05,11.05,7.60,18.65
12,1993,Florida State,ACC,25,10,86.3,79.7,6.63,11.44,17.84,0.22,18.07
13,1993,Oklahoma,Big 8,20,12,89.1,79.0,10.06,10.18,17.78,0.09,17.87
14,1993,Arkansas,SEC (West),22,9,86.9,77.5,9.42,8.30,16.08,1.64,17.72
15,1993,Wake Forest,ACC,21,9,77.7,70.2,7.50,9.32,6.90,9.92,16.82
16,1993,Minnesota,Big Ten,22,10,76.7,67.9,8.72,9.23,7.86,8.95,16.81
17,1993,Marquette,GMWC,20,8,73.8,60.4,13.39,2.29,2.58,13.10,15.68
18,1993,Western Kentucky,Sun Belt,26,6,85.1,71.7,13.44,1.75,10.97,4.24,15.22
19,1993,Louisville,Metro,22,9,81.1,74.0,7.10,8.85,9.69,4.96,14.65
20,1993,Oklahoma State,Big 8,20,9,77.4,69.1,8.38,9.90,5.71,8.90,14.62
21,1993,Virginia,ACC,21,10,74.2,69.3,4.84,9.76,4.61,9.99,14.60
22,1993,Massachusetts,A-10,24,7,73.0,64.1,8.90,5.34,1.02,13.22,14.25
23,1993,Providence,Big East,20,13,70.8,64.8,6.06,8.18,2.36,11.88,14.24
24,1993,Michigan State,Big Ten,15,13,74.3,68.1,6.11,7.92,4.34,9.33,13.67
25,1993,Syracuse,Big East,20,9,79.4,73.8,5.66,8.83,9.70,3.87,13.58
26,1993,Missouri,Big 8,19,14,74.3,67.7,6.61,9.11,3.28,10.10,13.38
27,1993,Utah,WAC,24,7,77.1,65.8,11.35,2.28,5.98,7.37,13.34
28,1993,St. John's (NY),Big East,19,11,75.4,71.7,3.63,9.48,6.83,6.31,13.14
29,1993,Georgetown,Big East,20,13,69.2,62.5,6.76,8.63,-1.95,14.98,13.03
30,1993,Georgia Tech,ACC,19,11,77.7,75.2,2.47,10.39,7.64,5.32,12.95
31,1993,Purdue,Big Ten,18,10,70.9,67.8,3.14,9.63,3.06,9.89,12.95
32,1993,Temple,A-10,20,13,69.2,66.5,2.70,10.23,2.02,10.90,12.92
33,1993,California,Pac-10,21,9,79.3,73.8,5.53,7.26,9.54,3.26,12.79
34,1993,Memphis,GMWC,20,12,75.1,69.5,5.53,8.73,5.79,6.91,12.70
35,1993,Brigham Young,WAC,25,9,81.0,71.9,9.09,4.09,10.22,2.28,12.50
36,1993,New Orleans,Sun Belt,26,4,72.5,61.2,11.33,0.55,-0.13,12.13,12.00
37,1993,Ohio State,Big Ten,15,13,71.1,70.2,0.93,10.93,3.35,8.54,11.89
38,1993,Boston College,Big East,18,13,71.5,67.0,4.42,7.46,2.17,9.71,11.88
39,1993,Illinois,Big Ten,19,13,75.9,73.3,2.56,9.27,7.15,4.68,11.83
40,1993,West Virginia,A-10,17,12,76.4,70.8,5.62,6.19,5.92,5.89,11.81
41,1993,Connecticut,Big East,15,13,75.5,71.8,3.64,8.05,7.72,3.98,11.69
42,1993,Washington State,Pac-10,15,12,72.7,65.3,7.41,5.63,1.18,10.45,11.63
43,1993,George Washington,A-10,21,9,76.4,69.1,7.30,4.26,5.13,6.43,11.56
44,1993,Georgia,SEC (East),15,14,77.7,75.0,2.76,10.02,6.53,4.99,11.52
45,1993,UCLA,Pac-10,22,11,78.4,76.1,2.30,9.05,9.69,1.66,11.35
46,1993,Nevada-Las Vegas,Big West,21,8,89.4,81.3,8.10,3.09,19.23,-8.04,11.19
47,1993,Xavier,MW Coll,24,6,74.3,65.1,9.20,2.75,2.65,8.24,10.89
48,1993,UAB,GMWC,21,14,69.5,64.4,5.09,5.69,-1.17,12.00,10.83
49,1993,Florida,SEC (East),16,12,73.5,70.5,2.96,7.73,2.76,7.97,10.73
50,1993,Nebraska,Big 8,20,11,80.5,75.7,4.87,5.70,10.28,0.29,10.57
51,1993,Louisiana State,SEC (West),22,11,78.7,73.7,4.97,5.27,6.08,4.17,10.24
52,1993,Clemson,ACC,17,13,79.2,76.7,2.50,7.55,8.33,1.72,10.05
53,1993,Kansas State,Big 8,19,11,70.3,67.0,3.33,6.91,-0.59,10.44,9.85
54,1993,Houston,SWC,21,9,79.2,72.0,7.17,2.66,5.60,4.20,9.80
55,1993,Pittsburgh,Big East,17,11,77.3,76.6,0.68,9.04,9.25,0.48,9.72
56,1993,Alabama,SEC (West),16,13,75.6,73.7,1.86,7.83,5.30,4.35,9.66
57,1993,Rhode Island,A-10,19,11,77.2,74.1,3.10,6.40,8.11,1.38,9.50
