,Year,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
0,2011,Ohio State,Big Ten,34,3,77.1,59.7,17.46,8.38,13.39,12.45,25.84,124.63,85.12,39.51
1,2011,Duke,ACC,32,5,80.9,64.7,16.19,8.32,16.55,7.95,24.51,120.54,85.03,35.51
2,2011,Kansas,Big 12,35,3,81.2,64.7,16.47,7.62,15.48,8.62,24.10,121.00,85.67,35.33
3,2011,Pittsburgh,Big East,28,6,73.9,61.0,12.97,7.85,9.54,11.28,20.82,121.39,88.86,32.53
4,2011,Texas,Big 12,28,8,75.0,62.2,12.86,7.96,9.52,11.30,20.82,114.63,83.77,30.86
5,2011,Kentucky,SEC (East),29,9,74.9,63.5,11.39,8.91,10.67,9.64,20.30,118.41,87.58,30.83
6,2011,Washington,Pac-10,24,11,83.1,70.7,12.37,7.74,18.29,1.83,20.12,118.85,90.37,28.49
7,2011,Purdue,Big Ten,26,8,72.5,61.9,10.68,8.69,9.34,10.02,19.36,115.04,85.67,29.37
8,2011,North Carolina,ACC,29,8,77.5,68.8,8.73,10.15,13.00,5.87,18.87,112.02,84.92,27.10
9,2011,Syracuse,Big East,27,8,73.4,63.3,10.06,8.79,9.39,9.45,18.85,115.21,86.57,28.63
10,2011,Wisconsin,Big Ten,25,9,67.9,58.6,9.35,9.42,4.24,14.52,18.77,123.46,92.49,30.97
11,2011,Brigham Young,MWC,32,5,81.4,67.9,13.51,5.76,15.83,2.82,18.65,116.20,89.26,26.95
12,2011,Louisville,Big East,25,10,74.9,64.5,10.40,8.20,10.42,8.18,18.60,113.18,85.59,27.59
13,2011,Notre Dame,Big East,27,7,75.2,65.5,9.74,8.43,11.10,7.07,18.17,120.53,92.75,27.79
14,2011,San Diego State,MWC,34,3,71.9,59.2,12.65,6.36,5.28,12.68,17.96,113.93,85.85,28.08
15,2011,Connecticut,Big East,32,9,72.4,64.9,7.51,10.44,9.23,8.72,17.95,115.08,87.63,27.45
16,2011,Illinois,Big Ten,20,14,71.0,65.4,5.62,11.11,7.98,8.74,16.72,113.89,88.43,25.47
17,2011,Arizona,Pac-10,30,8,76.4,67.9,8.55,7.99,11.12,5.42,16.54,117.75,92.45,25.29
18,2011,Florida,SEC (East),29,8,72.1,63.4,8.70,7.57,7.74,8.53,16.27,115.22,90.16,25.06
19,2011,West Virginia,Big East,21,12,69.8,64.7,5.12,11.03,5.64,10.51,16.15,114.43,89.85,24.58
20,2011,Cincinnati,Big East,26,9,68.9,59.6,9.31,6.10,3.69,11.72,15.41,111.41,87.63,23.79
21,2011,Vanderbilt,SEC (East),23,11,75.9,67.7,8.24,6.86,11.12,3.97,15.10,116.18,93.45,22.73
22,2011,Villanova,Big East,21,12,72.2,65.4,6.82,8.23,8.23,6.82,15.05,113.58,90.53,23.05
23,2011,Maryland,ACC,19,14,76.8,67.6,9.24,5.76,10.59,4.41,15.00,109.92,88.13,21.78
24,2011,Marquette,Big East,22,15,75.2,68.8,6.38,8.51,10.23,4.66,14.89,115.58,93.20,22.37
25,2011,Missouri,Big 12,23,11,80.8,71.6,9.21,6.50,14.73,0.04,14.77,113.62,92.55,21.07
26,2011,Nevada-Las Vegas,MWC,24,9,71.6,62.9,8.67,6.00,6.84,7.82,14.67,110.26,87.65,22.61
27,2011,Georgetown,Big East,21,11,70.6,66.3,4.22,10.39,7.15,7.47,14.61,114.21,92.09,22.11
28,2011,Kansas State,Big 12,23,11,72.9,66.1,6.71,8.41,7.55,7.04,14.59,110.43,88.65,21.77
29,2011,Michigan,Big Ten,21,14,66.5,62.5,4.03,10.68,3.14,11.07,14.21,113.11,90.66,22.46
30,2011,Gonzaga,WCC,25,10,76.7,65.9,10.77,4.01,8.59,5.27,13.86,111.51,90.52,20.99
31,2011,Virginia Tech,ACC,22,12,70.3,62.7,7.56,6.29,4.76,9.09,13.84,109.93,88.92,21.00
32,2011,Clemson,ACC,22,12,68.5,61.4,7.18,6.58,3.37,10.39,13.76,108.91,87.23,21.68
33,2011,Michigan State,Big Ten,19,15,68.8,66.6,2.21,11.67,6.14,7.56,13.70,110.12,89.66,20.46
34,2011,Florida State,ACC,23,11,69.1,62.0,7.03,6.45,3.52,9.97,13.48,103.30,83.53,19.77
35,2011,Utah State,WAC,30,4,72.0,58.7,13.35,0.50,1.88,11.35,13.23,110.45,88.83,21.62
36,2011,St. John's (NY),Big East,21,12,70.1,67.0,3.09,10.01,6.41,6.69,13.10,111.39,90.79,20.60
37,2011,Belmont,A-Sun,30,5,79.7,62.2,17.49,-4.42,9.39,3.68,13.07,111.47,91.73,19.74
38,2011,Saint Mary's (CA),WCC,25,9,78.9,66.3,12.68,1.95,9.69,3.35,13.04,116.99,96.81,20.18
39,2011,Texas A&M,Big 12,24,9,68.3,60.9,7.42,5.94,2.24,10.38,12.62,109.74,90.71,19.03
40,2011,Wichita State,MVC,29,8,72.7,61.6,11.05,1.79,6.89,5.68,12.57,113.38,92.64,20.74
41,2011,Temple,A-10,26,8,70.6,62.5,8.12,4.23,3.97,8.38,12.35,109.68,90.01,19.67
42,2011,Washington State,Pac-10,22,13,72.9,67.4,5.46,6.81,7.30,4.97,12.27,108.27,89.86,18.42
43,2011,Penn State,Big Ten,19,15,63.1,62.5,0.53,11.45,0.94,11.04,11.98,113.05,93.66,19.40
44,2011,Xavier,A-10,24,8,72.1,64.6,7.47,4.41,6.30,5.58,11.88,112.43,93.78,18.65
45,2011,Minnesota,Big Ten,17,14,68.9,67.0,1.97,9.79,5.68,6.07,11.75,110.52,92.41,18.11
46,2011,New Mexico,MWC,22,13,73.2,65.9,7.26,4.90,6.54,5.18,11.72,111.14,92.91,18.24
47,2011,Alabama,SEC (West),25,12,66.8,59.4,7.43,4.27,0.14,11.56,11.70,104.28,86.24,18.04
48,2011,UCLA,Pac-10,23,11,70.1,66.3,3.76,7.93,5.03,6.67,11.70,108.87,90.49,18.38
49,2011,George Mason,CAA,27,7,72.8,62.5,10.29,1.37,6.01,5.65,11.66,111.59,92.62,18.97
50,2011,Northwestern,Big Ten,20,14,71.8,67.7,4.12,7.54,7.77,3.89,11.66,116.19,98.18,18.01
51,2011,Butler,Horizon,28,10,71.2,64.1,7.11,5.02,5.06,6.48,11.53,111.60,93.16,18.45
52,2011,Southern California,Pac-10,19,15,66.2,62.7,3.56,7.97,0.17,11.35,11.52,107.42,89.57,17.86
53,2011,Colorado,Big 12,24,14,79.6,73.3,6.26,5.61,12.55,-1.10,11.45,117.74,100.10,17.64
54,2011,Richmond,A-10,29,8,69.6,61.2,8.43,2.79,2.85,8.38,11.23,112.20,93.68,18.51
55,2011,Tennessee,SEC (East),19,15,69.9,67.5,2.35,8.73,5.20,5.89,11.08,108.27,91.25,17.02
56,2011,Seton Hall,Big East,13,18,67.5,65.8,1.71,9.33,4.13,6.90,11.03,103.99,87.30,16.69
57,2011,Nebraska,Big 12,19,13,66.4,60.5,5.88,4.67,-0.93,11.48,10.54,105.04,88.14,16.90
58,2011,Miami (FL),ACC,21,15,71.6,67.6,4.06,6.42,6.33,4.14,10.47,112.77,96.50,16.27
