,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,28,8,20,.286,-3.61,4.77,,4,14,,,,,,,,1882,2029,,,,.375,.303,.487,47.6,49.6,,10.1,.445,22.0,,.257
2,Akron,26,8,18,.308,-7.20,0.96,,4,14,,,,,,,,1565,1764,,,,.337,.239,.476,49.0,56.7,,6.4,.443,20.4,,.219
3,UAB,30,14,16,.467,3.35,2.87,,5,7,,,,,,,,2129,2120,,,,.374,.238,.478,53.7,41.2,,9.2,.438,18.1,,.250
4,Alabama State,26,11,15,.423,-15.92,-8.33,,8,6,,,,,,,,2100,2246,,,,.387,.227,.487,51.2,53.5,,6.1,.454,16.3,,.247
5,Alabama NCAA,33,23,10,.697,15.50,6.62,,10,6,,,,,,,,2408,2115,,,,.329,.314,.528,53.3,56.2,,14.5,.505,18.6,,.212
6,Alcorn State,26,7,19,.269,-18.09,-9.22,,4,10,,,,,,,,2130,2283,,,,.327,.324,.519,47.6,49.7,,5.3,.487,17.6,,.224
7,American,28,9,19,.321,-9.30,-2.48,,7,7,,,,,,,,2088,2279,,,,.345,.349,.510,47.4,49.9,,3.0,.477,15.9,,.233
8,Appalachian State,29,9,20,.310,-10.72,-2.94,,4,10,,,,,,,,2125,2285,,,,.327,.306,.534,47.7,59.7,,7.0,.499,20.2,,.236
9,Arizona State NCAA,33,24,9,.727,16.70,9.00,,12,6,,,,,,,,2585,2331,,,,.369,.310,.541,49.3,63.7,,11.3,.521,18.5,,.229
10,Arizona NCAA,31,23,8,.742,19.09,10.35,,13,5,,,,,,,,2631,2350,,,,.380,.302,.568,52.4,59.0,,6.7,.546,18.5,,.250
11,Little Rock,29,17,12,.586,-1.60,-5.31,,9,9,,,,,,,,2198,2064,,,,.417,.227,.495,50.8,47.1,,8.2,.463,15.6,,.261
12,Arkansas State,28,8,20,.286,-14.38,-4.92,,3,15,,,,,,,,1854,2072,,,,.331,.267,.475,45.9,56.8,,6.8,.440,19.7,,.219
13,Arkansas NCAA,39,32,7,.821,16.91,10.51,,12,4,,,,,,,,3416,3115,,,,.342,.348,.558,49.1,59.0,,7.8,.533,17.1,,.231
14,Army,28,12,16,.429,-17.85,-11.26,,4,10,,,,,,,,2058,2222,,,,.450,.313,.519,47.9,51.6,,3.7,.472,17.4,,.316
15,Auburn,29,16,13,.552,9.22,7.03,,7,9,,,,,,,,2230,2124,,,,.370,.365,.571,50.1,62.9,,5.9,.539,20.2,,.265
16,Austin Peay,29,13,16,.448,-7.14,-4.51,,8,8,,,,,,,,2193,2210,,,,.411,.259,.536,49.0,50.1,,7.6,.496,17.1,,.288
17,Ball State NCAA,30,19,11,.633,5.36,2.61,,11,7,,,,,,,,2334,2183,,,,.413,.277,.553,50.4,58.7,,6.5,.526,18.2,,.270
18,Baylor,28,9,19,.321,-6.13,-0.43,,3,11,,,,,,,,2273,2409,,,,.281,.397,.508,46.9,58.7,,8.0,.484,16.7,,.186
19,Bethune-Cookman,28,12,16,.429,-16.65,-8.74,,9,7,,,,,,,,2143,2251,,,,.391,.273,.511,49.1,54.2,,7.7,.474,18.1,,.264
20,Boise State,27,17,10,.630,4.14,-0.64,,7,7,,,,,,,,1936,1807,,,,.415,.231,.520,47.9,57.6,,8.4,.489,15.4,,.267
21,Boston College,28,9,19,.321,1.36,5.72,,2,16,,,,,,,,2017,2139,,,,.451,.222,.534,54.1,52.5,,6.4,.491,22.8,,.314
22,Boston University,31,15,16,.484,-3.09,-2.56,,7,9,,,,,,,,2031,2061,,,,.408,.224,.500,52.6,57.0,,11.3,.458,19.0,,.277
23,Bowling Green State,27,16,11,.593,2.83,0.95,,10,8,,,,,,,,1925,1827,,,,.355,.281,.577,52.5,54.6,,5.5,.556,20.3,,.237
24,Bradley,30,20,10,.667,8.66,3.13,,12,6,,,,,,,,2132,1966,,,,.401,.260,.546,51.2,58.3,,8.1,.505,16.8,,.292
25,Brigham Young NCAA,32,22,10,.688,11.52,5.55,,13,5,,,,,,,,2405,2214,,,,.458,.279,.567,52.0,61.6,,8.1,.513,17.4,,.354
26,Brown,26,13,13,.500,-9.57,-6.65,,8,6,,,,,,,,1764,1840,,,,.390,.325,.524,47.5,59.8,,6.3,.486,18.7,,.270
27,Bucknell,27,13,14,.481,-7.22,-8.89,,11,3,,,,,,,,1886,1841,,,,.392,.234,.546,51.3,49.0,,6.4,.507,19.9,,.280
28,Buffalo,28,18,10,.643,-5.56,-9.17,,12,6,,,,,,,,2152,2051,,,,.331,.308,.527,48.8,57.6,,8.4,.498,18.1,,.225
29,Butler,27,15,12,.556,-0.94,-2.25,,8,7,,,,,,,,1984,1921,,,,.536,.235,.533,55.6,52.9,,6.1,.501,20.0,,.336
30,Cal Poly,27,1,26,.037,-30.86,-0.75,,0,6,,,,,,,,1493,2273,,,,.294,.197,.454,43.8,49.9,,4.7,.430,26.8,,.174
31,Cal State Fullerton,27,7,20,.259,-6.02,2.83,,5,13,,,,,,,,1914,2159,,,,.431,.301,.496,46.3,52.7,,6.4,.455,19.7,,.286
32,Cal State Northridge,28,8,20,.286,-12.40,-1.28,,4,2,,,,,,,,2002,2284,,,,.381,.312,.516,48.4,55.8,,7.6,.477,21.6,,.266
33,UC Irvine,29,13,16,.448,0.46,3.12,,6,12,,,,,,,,2225,2302,,,,.434,.322,.524,50.3,57.5,,5.6,.487,17.8,,.289
34,UC Santa Barbara,27,13,14,.481,1.84,0.58,,8,10,,,,,,,,1943,1909,,,,.399,.306,.544,49.7,60.1,,10.7,.509,19.3,,.276
35,California,27,13,14,.481,10.96,8.89,,5,13,,,,,,,,2158,2102,,,,.429,.319,.540,50.3,58.5,,8.9,.515,17.7,,.269
36,Campbell,26,8,18,.308,-17.21,-5.25,,4,12,,,,,,,,1612,1878,,,,.280,.286,.470,47.4,56.3,,5.2,.439,17.9,,.187
37,Canisius,35,21,14,.600,2.64,1.07,,10,4,,,,,,,,2441,2386,,,,.366,.332,.515,48.2,59.2,,7.5,.472,17.1,,.266
38,Centenary (LA),27,10,17,.370,-11.96,-6.00,,7,9,,,,,,,,2174,2299,,,,.303,.350,.519,44.9,60.2,,8.3,.487,15.5,,.214
39,Central Connecticut State,26,8,18,.308,-17.73,-8.46,,6,12,,,,,,,,1815,2065,,,,.357,.208,.505,53.3,56.1,,16.6,.477,23.5,,.228
40,Central Florida,27,11,16,.407,-9.52,-6.60,,7,9,,,,,,,,2037,2104,,,,.309,.237,.519,50.7,54.1,,8.2,.495,19.1,,.203
41,Central Michigan,26,3,23,.115,-13.68,1.74,,0,18,,,,,,,,1662,1992,,,,.334,.249,.491,45.2,42.4,,3.5,.457,18.6,,.225
42,Charleston Southern,29,19,10,.655,-4.46,-6.49,,12,4,,,,,,,,2149,2090,,,,.374,.245,.524,51.6,51.2,,8.2,.490,18.5,,.255
