,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,26,7,19,.269,-4.91,1.18,,2,14,,,,,,,,1766,1875,,,637,1519,.419,134,436,.307,358,575,.623,384,1005,350,155,40,406,534
2,Akron,26,8,18,.308,-1.18,0.98,,6,12,,,,,,,,1833,1870,,1060,677,1585,.427,121,402,.301,358,514,.696,287,869,407,220,78,355,478
3,UAB,32,18,14,.563,3.08,2.08,,7,7,,,,,,,,2142,2110,,,750,1844,.407,189,544,.347,453,699,.648,441,1206,342,232,103,468,660
4,Alabama State,29,8,21,.276,-21.80,-8.34,,5,9,,,,,,,,1899,2318,,,667,1688,.395,144,456,.316,421,680,.619,383,1050,284,225,20,536,513
5,Alabama,31,17,14,.548,9.75,6.12,,6,10,,,,,,,,2166,2006,,,749,1838,.408,247,671,.368,421,576,.731,445,1225,363,199,101,57,536
6,Alcorn State,28,11,17,.393,-15.53,-10.16,,8,6,,,,,,,,2021,2140,,,712,1630,.437,117,362,.323,480,746,.643,385,1134,419,192,107,528,589
7,American,27,11,16,.407,-5.21,-0.44,,7,9,,,,,,,,1831,1920,,,639,1557,.410,156,477,.327,397,589,.674,359,952,268,201,65,417,481
8,Appalachian State,28,14,14,.500,-5.92,-4.92,,8,6,,,,,,,,1990,1954,,,718,1485,.484,178,453,.393,376,563,.668,297,901,397,185,105,432,475
9,Arizona State,30,10,20,.333,2.24,7.21,,2,16,,,,,,,,2181,2233,,,830,1953,.425,188,562,.335,333,501,.665,391,1041,533,299,172,431,549
10,Arizona NCAA,34,25,9,.735,21.66,11.04,,11,7,,,,,,,,2850,2491,,,1015,2241,.453,222,600,.370,598,913,.655,562,1377,567,358,100,521,654
11,Little Rock,29,18,11,.621,-1.58,-4.10,,11,7,,,,,,,,2155,2014,,,757,1742,.435,168,512,.328,473,722,.655,448,1215,438,131,99,545,545
12,Arkansas State,27,15,12,.556,-5.48,-4.48,,8,10,,,,,,,,1988,1970,,,723,1620,.446,126,401,.314,416,627,.663,344,962,396,193,111,410,509
13,Arkansas,32,18,14,.563,14.74,7.05,,8,8,,,,,,,,2527,2281,,,919,2078,.442,274,736,.372,415,611,.679,427,1155,509,318,124,494,638
14,Army,26,10,16,.385,-16.80,-8.68,,4,8,,,,,,,,1821,1943,,,612,1490,.411,188,537,.350,409,562,.728,335,936,333,168,49,411,553
15,Auburn,31,16,15,.516,5.42,5.42,,6,10,,,,,,,,2056,2017,,,730,1759,.415,212,703,.302,384,596,.644,466,1150,387,245,103,506,569
16,Austin Peay,31,17,14,.548,-5.01,-7.32,,12,6,,,,,,,,2398,2278,,,841,1814,.464,228,620,.368,488,728,.670,364,1112,425,225,121,428,517
17,Ball State,29,16,13,.552,1.80,1.48,,9,9,,,,,,,,2157,2144,,,779,1741,.447,136,403,.337,463,708,.654,390,998,425,263,60,439,512
18,Baylor,30,18,12,.600,4.40,2.99,,6,10,,,,,,,,2149,2075,,,776,1802,.431,227,680,.334,370,651,.568,390,1107,437,212,134,474,609
19,Bethune-Cookman,28,12,16,.429,-12.10,-9.44,,9,9,,,,,,,,1911,1985,,,662,1567,.422,179,537,.333,408,610,.669,308,872,335,218,89,401,555
20,Boise State,27,14,13,.519,3.13,-0.72,,9,7,,,,,,,,1782,1678,,,622,1421,.438,223,613,.364,315,445,.708,250,758,382,256,70,386,542
21,Boston College NCAA,31,22,9,.710,11.92,6.69,,12,6,,,,,,,,2305,2143,,,780,1724,.452,190,512,.371,555,790,.703,430,1194,408,240,87,473,568
